x,y,color
420.0597558,368.2888402,0
430.2735537,424.9100503,0
464.9592155,383.761736,0
502.6855028,345.0661247,0
448.1928586,396.9329547,0
419.6696077,378.318283,0
468.5147986,428.3690766,0
497.10362,413.6801445,0
448.2154017,395.2008223,0
429.4627137,406.0475223,0
455.0539823,394.1376707,0
502.8316948,359.3735911,0
475.4035957,374.7118042,0
476.9640019,384.1563958,0
481.5396021,363.0793819,0
511.610556,365.1395627,0
469.4879876,353.457341,0
517.0349678,426.9829264,0
504.7570572,400.0938213,0
502.2796482,396.6139289,0
443.6691903,395.720535,0
515.4117036,378.6268695,0
514.3296181,335.6531661,0
429.8885106,409.4434442,0
641.5721022,230.0060802,1
579.9098991,252.9621446,1
580.2409894,221.7516489,1
648.7161822,229.628601,1
589.4281086,273.5895264,1
656.6638122,298.7604366,1
589.0447239,308.3739918,1
653.8047746,297.0234902,1
638.6084099,274.3977211,1
620.5486317,221.1964654,1
640.1912062,238.5171508,1
573.0899101,309.8295932,1
621.3628293,271.5788156,1
645.8934321,244.970719,1
638.4510823,253.2687774,1
631.2693317,244.7371719,1
637.71325,226.816263,1
630.2082469,259.0720905,1
600.4099365,255.9135514,1
650.3368647,259.3919504,1
592.9525643,287.2680029,1
622.3566629,297.8411793,1
598.7419295,226.7688963,1
634.2479018,272.1176054,1
572.6733753,305.9277601,1
572.5530777,300.9103724,1
580.3480176,266.507301,1
617.8740453,303.0137581,1
666.2247978,271.07813,1
639.3766909,275.641932,1
635.5402232,238.4286378,1
661.9020076,262.9359598,1
641.2718376,277.1364416,1
608.3247761,266.7819856,1
601.4925279,250.3339806,1
623.2670425,255.2526404,1
648.380655,296.5021074,1
581.8874323,227.3649867,1
662.232816,280.8786761,1
613.9442537,252.2167304,1
662.6190128,229.62204,1
637.2572488,219.9894277,1
585.042466,286.6328907,1
621.6600976,275.3024159,1
613.5473826,232.0363977,1
622.1540599,270.5563038,1
652.6568083,201.3288036,1
596.5691526,215.1879936,1
657.4719966,290.0555188,1
684.336491,292.925651,1
640.9284903,294.5390144,1
587.742797,262.6232883,1
636.1334674,269.9539087,1
683.3789233,283.5694745,1
616.3150307,272.71712,1
584.6106486,296.4686486,1
617.953221,306.0535175,1
584.7786477,227.7613084,1
647.6398401,249.9599252,1
599.4663899,223.691973,1
628.319237,290.4913137,1
633.4300338,298.2829639,1
588.0816889,265.1241569,1
610.3984053,249.888039,1
665.9979848,281.7778802,1
604.4026193,222.5062187,1
666.8047415,309.8997427,1
643.3977429,306.1120042,1
611.1920939,254.0389946,1
599.8560468,258.672428,1
576.1134266,229.9544575,1
606.6385167,316.8546702,1
611.8120748,303.2736519,1
640.312529,256.9975573,1
631.1899805,223.0824998,1
671.3976171,254.2453564,1
654.7083876,262.898634,1
648.0170359,270.2074685,1
611.3535572,285.2484663,1
662.234282,214.4534488,1
671.0233891,270.5636792,1
616.4623218,214.6918627,1
612.3858913,250.9036294,1
620.7756794,213.1416889,1
620.0243803,266.0989504,1
618.0101403,288.4163258,1
598.6130723,204.0552842,1
676.3423104,203.8669439,1
662.0159241,267.5192593,1
599.0482738,230.8528763,1
607.6938365,239.4609933,1
672.1114382,244.7509807,1
604.8247072,215.523502,1
688.8287678,226.3220714,1
600.6425044,291.4250559,1
607.9604299,211.8103569,1
681.1611189,286.905452,1
669.4491735,218.7125377,1
621.8885035,251.8282469,1
669.7688571,263.038076,1
631.8402798,277.8720343,1
624.511821,251.9016387,1
675.7125143,312.0382977,1
605.0272158,288.0082161,1
653.9482508,288.1213788,1
585.6600699,283.6636344,1
580.0806961,295.6945229,1
568.2878733,230.0937066,1
586.8720191,313.9052515,1
624.9774151,395.7559439,2
612.1353904,400.5265048,2
664.4501542,403.6348547,2
625.7532794,437.604353,2
589.2305082,393.552298,2
612.7376317,392.4294985,2
685.2654677,441.4650611,2
594.6724457,425.9207491,2
609.7536337,350.6562944,2
655.5870025,429.1683719,2
593.0340592,413.8659762,2
668.9285817,427.405854,2
614.1002347,435.2405114,2
642.436149,405.6669338,2
644.1101879,445.4141967,2
663.511136,426.7176243,2
634.4717412,414.3658885,2
618.7459446,394.1578699,2
614.9027971,381.0612322,2
635.4577925,369.8457484,2
593.5047463,352.2341753,2
621.5628822,354.264644,2
626.3136202,363.810414,2
619.4949574,394.8115002,2
635.582098,355.2291639,2
649.8082078,362.2641147,2
679.6747298,425.5428858,2
643.9089098,368.9689893,2
674.6963373,396.9430521,2
672.1227154,423.144318,2
637.7910428,385.4634124,2
667.8504112,417.2283934,2
656.2829372,406.0707812,2
613.0657721,446.883986,2
674.8046435,361.0980949,2
665.3108916,363.7175931,2
622.0864673,431.0695182,2
638.1309419,383.9787302,2
618.8819346,408.0217502,2
599.6278075,439.9587322,2
627.8644531,414.6982297,2
687.6549617,431.8549694,2
630.6236052,388.0421679,2
602.9923325,414.3268538,2
664.750054,361.5469352,2
615.5255474,377.3924861,2
617.7810312,370.9275635,2
608.7151348,376.008308,2
640.0094555,445.5240289,2
600.1056462,372.8532047,2
667.8456989,372.721918,2
638.043931,443.0352589,2
615.8943048,386.039419,2
626.4576218,448.0060759,2
587.5278039,368.8444937,2
626.6693266,400.1328447,2
649.4972087,400.261219,2
591.4878022,360.5529365,2
677.3134228,377.9707502,2
660.6639669,355.5466301,2
647.1681163,447.3491492,2
613.7077277,386.647864,2
605.7573578,415.2349417,2
675.9423504,405.3374826,2
672.2952517,403.5550165,2
663.6839111,385.0198742,2
616.084798,396.7239191,2
609.4937714,389.0732221,2
608.3298723,417.1470584,2
619.9067433,423.4297744,2
698.5410826,424.8934822,2
685.1485012,365.4598101,2
681.3740998,421.6679444,2
642.2258315,353.8192322,2
680.0783372,367.6549601,2
666.9636767,386.1512444,2
614.9575215,372.5394923,2
685.3063098,367.8187044,2
604.1558156,428.786814,2
692.6954999,355.1871191,2
603.8691865,395.7181646,2
609.2940967,400.6701039,2
641.3771886,425.8868458,2
674.7636825,380.2709745,2
648.298918,380.455921,2
609.6233041,380.3818638,2
667.6012649,467.2456176,2
601.7001861,435.6668125,2
685.8660334,403.7639244,2
618.9568663,416.080677,2
651.7556829,389.6178564,2
638.6051825,389.3939884,2
597.7915589,389.8728503,2
658.8931289,405.1687224,2
669.0928389,427.594185,2
608.6352895,389.1964263,2
594.6998743,472.0393039,2
658.4016747,469.2329127,2
631.4257131,412.6230114,2
687.6678858,326.5323584,2
617.2246353,304.8524915,2
498.8548472,458.9118819,2
524.7050789,390.1775222,2
520.5659773,444.1171163,2
641.3161046,365.2426893,1
683.9908382,359.9565758,1
638.9164713,323.5690965,1
542.0059015,347.5270703,0
611.9646116,377.2549779,0
520.6541677,455.9964532,0
594.4793142,392.9014547,0
